L,Execution internal time (s),Execution external time (s)
20,0.13306870990985772,1.4008641242980957
40,0.7122064995093388,6.7652428150177
60,2.4100730982096867,22.27312970161438
80,5.572311176122457,52.24485635757446
100,10.73390483895928,98.2568199634552
120,18.27052148282179,167.0483434200287
140,28.975633959548723,268.8569815158844
160,41.72048817916191,387.8149485588074
180,60.66537468115974,562.4714713096619
200,80.16202244362998,739.9098675251007
