L,Execution internal time (s),Execution external time (s)
20,0.30022269946639424,4.895118474960327
40,1.4099765412665874,22.208664178848267
60,4.602212767300201,73.83923006057739
80,10.60609561503358,166.9473581314087
100,20.30363060563359,318.12456226348877
