Temperatura,E_L20,M_L20,E_L40,M_L40,E_L60,M_L60,E_L80,M_L80,E_L100,M_L100,E_L120,M_L120,E_L140,M_L140,E_L160,M_L160,E_L180,M_L180,E_L200,M_L200
0.1,-9.398568669558149,1.0,-8.362822434278353,1.0,-7.902416730951999,1.0,-7.177157277922185,1.0,-6.888188122251167,1.0,-6.580371299840071,1.0,-6.144592001378385,1.0,-5.923886997100715,1.0,-5.516979472335895,1.0,-5.244726630421687,1.0
0.2,-9.398568669558149,1.0,-8.362822434278353,1.0,-7.902416730951999,1.0,-7.177157277922185,1.0,-6.888188122251167,1.0,-6.580371299840071,1.0,-6.144592001378385,1.0,-5.923886997100715,1.0,-5.516979472335895,1.0,-5.244726630421687,1.0
0.30000000000000004,-9.398568669558149,1.0,-8.362822434278353,1.0,-7.902416730951999,1.0,-7.177157277922185,1.0,-6.888188122251167,1.0,-6.580371299840071,1.0,-6.144592001378385,1.0,-5.923886997100715,1.0,-5.516979472335895,1.0,-5.244726630421687,1.0
0.4,-9.398568669558149,1.0,-8.362822434278353,1.0,-7.902416730951999,1.0,-7.177157277922185,1.0,-6.888188122251167,1.0,-6.580371299840071,1.0,-6.144592001378385,1.0,-5.923886997100715,1.0,-5.516979472335895,1.0,-5.244726630421687,1.0
0.5,-9.398568669558149,1.0,-8.362822434278353,1.0,-7.902416730951999,1.0,-7.177157277922185,1.0,-6.888188122251167,1.0,-6.580371299840071,1.0,-6.144592001378385,1.0,-5.923886997100715,1.0,-5.516979472335895,1.0,-5.244726630421687,1.0
0.6,-9.398568669558149,1.0,-8.362822434278353,1.0,-7.902416730951999,1.0,-7.177157277922185,1.0,-6.888188122251167,1.0,-6.57954722182847,0.9999373836236549,-6.144592001378385,1.0,-5.923886997100715,1.0,-5.516975079209981,0.9999996018540638,-5.244516485765783,0.9999799661001695
0.7000000000000001,-9.398568669558149,1.0,-8.362822434278353,1.0,-7.902416730951999,1.0,-7.176785808604878,0.9999741214172323,-6.88733658539811,0.9999381886181138,-6.580371299840071,1.0,-6.144479384172249,0.9999908360712875,-5.923882577353274,0.9999996269554565,-5.516963375559289,0.999998541160368,-5.244663958874175,0.9999940252798737
0.8,-9.395594171299145,0.9998417579121043,-8.361446784379162,0.9999177520561986,-7.901822010834471,0.9999623709975204,-7.177090048984607,0.9999953164647942,-6.88717168382348,0.9999262187378126,-6.5799507993393735,0.9999680488773705,-6.142742152028195,0.9998494733783971,-5.922693873552044,0.9998992955512779,-5.516425605486127,0.9999498034338766,-5.243893562209052,0.999918917405413
0.9,-9.3912499001452,0.999582770861457,-8.358250698082218,0.9997186945326366,-7.898251860896662,0.9997160880651988,-7.174120256925562,0.9997884245196935,-6.885088537473883,0.9997748802511974,-6.575365750592176,0.9996092335804609,-6.142877394786123,0.9998604784018307,-5.921172106492588,0.9997707831708864,-5.512740665848083,0.9996110217083156,-5.241965395306751,0.9997315978420107
1.0,-9.386600190781405,0.9993632818359082,-8.350776351052057,0.9992653621159471,-7.886832400510048,0.9989714430685414,-7.166716607095137,0.999270712241097,-6.882904025561536,0.9996164378356216,-6.571999507451127,0.9993597194560416,-6.138033654675286,0.9994598143540958,-5.914541637827429,0.9991899679533254,-5.511816533405266,0.9995298517203025,-5.23852625119602,0.9994029679851602
1.1,-9.387258057694927,0.9993982800859957,-8.343178394143035,0.9987901864953376,-7.876174852104711,0.9982846674777642,-7.161275660960262,0.9988748890638867,-6.872118305376639,0.9987898721012791,-6.558077568465833,0.9982370239507263,-6.131988265776177,0.9989737894000467,-5.9079960902127375,0.9986338991631303,-5.50361974182772,0.9987639050153425,-5.232188780746416,0.9987924570377148
1.2000000000000002,-9.328942854860461,0.9961159442027899,-8.31009720231383,0.9966478963025925,-7.859283059337453,0.9972256573501552,-7.1360073647927384,0.9969401359045511,-6.861509568527523,0.9980112138878611,-6.54763529930341,0.9973898388809723,-6.114141810939492,0.9974351502445538,-5.891941707627042,0.9971918188206637,-5.488674005834423,0.9973584039073582,-5.223165267140435,0.9978377245613772
1.3000000000000003,-9.304557138090964,0.9946547672616368,-8.287665014614975,0.9951712144696383,-7.843560073061015,0.9961389069441435,-7.110140904900379,0.9950474994062575,-6.825140643340693,0.9951982880171197,-6.524725531496883,0.9956357284985589,-6.099488008663562,0.9961547847544528,-5.875001602447698,0.9956840543184106,-5.475346151030557,0.9960941554439924,-5.203558068741399,0.995907294213529
1.4000000000000001,-9.280765851068328,0.9935668216589171,-8.250862982499925,0.9925982162945927,-7.772501848073741,0.9909386880589027,-7.062961918591644,0.9914695831927101,-6.7654639344620255,0.9903679543204568,-6.498647417474074,0.9933302338221256,-6.062744076722798,0.9929142918658452,-5.8439237433668785,0.9927642532312297,-5.45558540335443,0.9941696551617237,-5.183415520170678,0.9937216391418043
1.5000000000000002,-9.072945693086288,0.97998000099995,-8.213246379576407,0.9904531449213769,-7.737254437407427,0.9888244640367104,-7.034737399508438,0.9893080750553118,-6.742243574779592,0.9882900190998091,-6.444403035670586,0.9889422460831345,-6.019553667369957,0.9888386547967806,-5.817928278559974,0.9901643612774295,-5.4119753210684,0.9897314514233494,-5.150686691049952,0.9903277488612557
1.6,-9.071277530555568,0.9796045197740113,-8.06713427613088,0.9800543423914402,-7.6513488432262005,0.9821865931864099,-6.950578292219015,0.982551882163973,-6.700588803320845,0.9847965740342597,-6.382926733751165,0.9835998253255296,-5.9841071307874945,0.9856886131571364,-5.7575763119725245,0.9845435873252355,-5.360078337040723,0.9840686570945663,-5.096560451916219,0.9842298268508657
1.7000000000000002,-8.910360933983053,0.9694422778861057,-8.002152327615832,0.9756297967550812,-7.554735726003778,0.9749388621300756,-6.836522156785059,0.9728135937363283,-6.601018807940707,0.9765079529204708,-6.309650248868483,0.9767037844129077,-5.8988465680002715,0.9774072320766222,-5.694905930419431,0.9781473533759164,-5.3233755427910925,0.9805098599932333,-5.0502305320520025,0.9790277291113545
1.8000000000000003,-8.831083271854103,0.9662341882905855,-7.769418184241439,0.9562606247343817,-7.431856291385931,0.9654951676731313,-6.773237242117589,0.9670202286533919,-6.521999654078652,0.9691630323696764,-6.216081278972243,0.9676002954605007,-5.819912354918128,0.9693622144681474,-5.618774554329213,0.9702361313366791,-5.231674855208047,0.9696705409249784,-4.991275419894287,0.9724182966585168
1.9000000000000001,-8.492899736383329,0.9354082295885207,-7.620330297094907,0.9405857041073973,-7.281364077807361,0.9517060456399801,-6.618969987634137,0.9523181780540243,-6.380569028908128,0.9554729392706073,-6.114506006046763,0.9576550380598681,-5.721782492921275,0.9595538282598274,-5.564259292328089,0.9650638902256862,-5.191031975681033,0.9653806422611781,-4.932821823034759,0.965558412207939
2.0,-8.347882373395862,0.9278533573321335,-7.371490805698598,0.9203935214119647,-7.066351170375972,0.9311022501476828,-6.460885766764817,0.9372778426207172,-6.240758076095947,0.940679577204228,-5.97250136777666,0.9432207891323128,-5.60512951444473,0.9461037144195324,-5.417767853876393,0.9478779449034694,-5.076444091578346,0.9523589399126109,-4.81704310396758,0.9501122149389254
2.1,-8.093593316072159,0.9094482775861207,-7.183048460037815,0.901672364440889,-6.845032605340203,0.9096636630130239,-6.3132735603223,0.9173122796902539,-6.058424200828352,0.9211983180168197,-5.826863290482983,0.9270768681094324,-5.46599330301581,0.9284563543205012,-5.322968546392967,0.936983183405885,-4.958368629303111,0.936520972345764,-4.742282604621176,0.9412281393593032
2.2,-7.652390171468312,0.8698775061246937,-6.878171880451216,0.8616062098447539,-6.616620861461748,0.8805509167439802,-6.035531951351593,0.8869675652491844,-5.873141714580997,0.8996612773872261,-5.645172101017972,0.9031857720630105,-5.306052189104541,0.9097395638136112,-5.204485255734108,0.9216936749614065,-4.831232967283716,0.9204178279256473,-4.630756620371228,0.9257215248923756
2.3000000000000003,-7.347142273118148,0.8442405379731014,-6.514674687806657,0.8239378390540236,-6.153306378248872,0.8258290324790882,-5.6658637696134395,0.8406862023599705,-5.726740567461172,0.8873844201557984,-5.4752709117811404,0.8824018399383708,-5.17468212667217,0.8923015170882891,-5.023045138764913,0.897583456997925,-4.740972237398614,0.9078877089228791,-4.54402941529034,0.9141319830900846
2.4000000000000004,-6.300121235474063,0.6329431028448578,-6.049580366674464,0.760230244243894,-5.906390190103369,0.7993136225507352,-5.5686503894512365,0.8362303986825165,-5.436984750599456,0.8485211527884722,-5.279606892503737,0.8572913559053674,-5.021706659703084,0.8742128671384125,-4.863157567305291,0.8747475797026268,-4.61256829014433,0.8889728801918179,-4.375082667787298,0.8893885735571323
2.5000000000000004,-6.05311570469294,0.58011199440028,-5.6170508459959425,0.6612803429914252,-5.684668974377792,0.7699175476705017,-5.285751721010338,0.7808586064549193,-5.236543979849221,0.8162611153888462,-5.061055702409332,0.8256665569453587,-4.854116205908859,0.8504082747805446,-4.741867453556033,0.8607947284313847,-4.439099742399168,0.862850412147916,-4.263608147160094,0.8712676861615691
2.6,-5.875618512374946,0.6146357682115895,-5.2235146234668,0.6496382277943051,-5.209616890636692,0.6645890161089907,-4.957758415644392,0.7413766468544144,-5.0933664725342105,0.7984026239737603,-4.84071127706913,0.7945081927558011,-4.6242477608630725,0.8149170056948574,-4.523675673008943,0.825710858350104,-4.267012673829602,0.8357216263064656,-4.156058022125847,0.8558316353418233
2.7,-4.648255008011879,0.3335855707214639,-5.019020241444328,0.5682480125496863,-5.1493021879890675,0.6803239668227752,-4.735965889192132,0.6966079838064525,-4.707201273806115,0.7293740822591774,-4.681980624380031,0.7647787495289391,-4.460670001526105,0.7948215880090652,-4.335349719689667,0.79635458040106,-4.1976218632080595,0.8267910133695416,-4.037661115836157,0.836479405602972
2.8000000000000003,-5.043769295471526,0.5015286735663217,-4.598734370732944,0.4856398902527437,-4.699471344448677,0.5906515261782673,-4.398233779743198,0.6332080966175423,-4.5322071304295,0.7095367066329337,-4.422701768877412,0.7326464779460171,-4.306712535449608,0.7609267266166757,-4.227398692967295,0.7802047536031025,-3.98479208974429,0.7900286452455237,-3.8697563277182567,0.806869536402318
2.9000000000000004,-4.540369533243425,0.25065646717664114,-4.272620150500908,0.44528061798455043,-4.544289344214975,0.5663725234209059,-4.243472653297958,0.6098806655541806,-4.266185706036699,0.6548577694223058,-4.233888384550283,0.6946142300666014,-4.113272500694754,0.7316614363833261,-4.04755794896321,0.7464933744554721,-3.8579089075957556,0.7650010380600766,-3.746176958570201,0.7848976427617862
3.0000000000000004,-4.447250821158879,0.3601147442627869,-4.099255335412662,0.3230437676558086,-4.089209700523153,0.48492124205337317,-4.02818818517866,0.580852622154723,-4.1138436111764145,0.6283257747422526,-4.10286488547858,0.6755163301879892,-3.856847851655489,0.6837438267569226,-3.900079136619229,0.7197218293752852,-3.6957441225665333,0.7361922632665757,-3.5913949615639575,0.7577379840600798
3.1,-4.067800234012659,0.1464436778161092,-3.852403271349817,0.3210050061248469,-3.9921577869738583,0.4479991166813886,-3.8480953184100417,0.518891088080149,-3.8738816087973955,0.5967376646233538,-3.8506974556627567,0.6301094331158351,-3.7138041196525884,0.6605726934311985,-3.73641334348132,0.6935580236607897,-3.545907370236289,0.7084553631766518,-3.4730681297164043,0.7323381260593698
